Socket Name;
BGA352;
BGA396;
BGA436;
BGA437;
BGA441;
BGA474;
BGA481;
BGA495;
BGA516;
BGA559;
BGA581;
BGA615;
BGA676;
BGA686;
BGA720;
BGA812;
BGA956;
BGA1090;
CBGA576;
CLCC68;
DIP40;
DIP64;
EBGA368;
EBGA376;
FC-MB5T1064;
FC-MB4617;
FC-MB4760;
FC-MB5796;
FCBGA393;
LGA1200;
PBGA456;
PBGA488;
PGA68;
PGA88;
PGA121;
PGA124;
PGA128;
PGA132;
PGA168;
PGA179;
PGA183;
PGA206;
PGA413;
PGA431;
PGA463;
PLCC44;
PLCC68;
PQFP68;
PQFP80;
PQFP100;
PQFP132;
PQFP144;
PQFP196;
PQFP208;
PQFP216;
T-PBGA518;
208-pin Shrink Quad Flat Pack (SQFP208);
1548 Ball HFCBGA 35×35 mm (HFCBGA1548);
CoreFusion (BGA841);
Corefusion Mark (HSBGA686);
Elan 4xx (BGA292);
FCBGA479 (BGA479);
FCBGA1023 (BGA1023);
FCBGA1088 (BGA1088);
FCBGA1168 (BGA1168);
FCBGA1170 (BGA1170);
FCBGA1296 (BGA1296);
FCBGA1356 (BGA1356);
FCBGA1364 (BGA1364);
FCBGA1440 (BGA1440);
FCBGA1449 (BGA1449);
FCBGA1528 (BGA1528);
FCBGA1744 (BGA1744);
FCBGA1787 (BGA1787);
FT3b (BGA769);
HFCBGA1367 (BGA1367);
mP6 (BGA387);
NanoBGA (BGA400);
NanoBGA2 (BGA400);
PAC418 (Pin Array Cartridge);
PowerPC 400 (PQFP160);
RS/6000 processor card (Slot);
SiS BGA686 (BGA686);
Slot 1 (Slot-242);
Slot 2 (Slot-330);
Slot A (Slot-242);
Socket 1 (PGA169);
Socket 2 (PGA238);
Socket 3 (PGA237);
Socket 4 (PGA273);
Socket 5 (PGA320);
Socket 6 (PGA235);
Socket 7 (PGA321);
Socket 8 (PGA387);
Socket 370 (PGA370);
Socket 370S (PGA370S);
Socket 423 (PGA423);
Socket 478 (mPGA478);
Socket 478C (mPGA478C);
Socket 479 (mPGA479M);
Socket 495 (PPGA495);
Socket 499 (PGA499);
Socket 563 (mPGA563);
Socket 603 (mPGA603);
Socket 604 (mPGA604);
Socket 615 (PGA615);
Socket 754 (mPGA754);
Socket 939 (mPGA939);
Socket 940 (mPGA940);
Socket A (PGA462);
Socket AM2 (mPGA940);
Socket AM2+ (mPGA940);
Socket AM3 (mPGA941);
Socket AM3+ (mPGA942);
Socket AM4 (mPGA1331);
Socket AM5 (LGA1718);
Socket B (LGA1366);
Socket C32 (LGA1207);
Socket F (LGA1207);
Socket FM1 (PGA905);
Socket FM2 (PGA904);
Socket FM2+ (PGA906);
Socket FT1 (BGA413);
Socket G1 (rPGA988A);
Socket G2 (rPGA988B);
Socket G3 (rPGA946B/947);
Socket G34 (LGA1974);
Socket H (LGA1156);
Socket H2 (LGA1155);
Socket H3 (LGA1150);
Socket H4 (LGA1151);
Socket J (LGA771);
Socket M (mPGA478MT);
Socket P (mPGA478MN);
Socket R (LGA2011);
Socket S1 (mPGA638);
Socket T (LGA775);
Socket TR4 (LGA4094);
Socket V (LGA1700);
SUN IIi SME Module (180/120 Socket);
Sun PGA959 (PGA959);
Tape Carrier Package 320 Pad (TCP320);
Transmeta FC-OBGA 399 (BGA399);
WTL4167 (PGA144);
ZF Micro SMX (PFP240);
ZFx86 (PBGA388);
